tweets
"b""I 'm Chick-fil-A Winchester , VA"""
"b""I 'm ( Washington , DC ) w/ 5 others"""
"b""I 'm ( Washington , DC )"""
b'Wow . This Bruce big surprise today . Boys Girls ... WERQ ! ( @ Verizon Center Alicia Keys Miguel )'
b'WERQ ( w/ 3 others ) [ pic ] :'
"b""Moody 's Fierce Birthday Party ( @ Town Danceboutique - w/ )"""
"b""I 'm Posto ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 5 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC )"""
"b""I 'm Lincoln Tunnel Toll Plaza ( Weehawken , NJ ) w/ 2 others"""
"b""I 'm Times Square ( New York , NY )"""
b'In New York ... BLACK PARTY ! ( @ 73 East 2nd )'
"b""I 'm ( Washington , DC )"""
"b""I 'm Vida Fitness - ( Washington , DC ) w/ 2 others"""
"b""I 'm Vida Fitness - ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm Lisner Auditorium - Xanadu-Gay Men 's Chorus ( Washington , DC ) w/ 15 others"""
"b""I 'm Lovely Nails ( Washington , DC )"""
"b""I 'm Vida Fitness - ( Washington , DC ) w/ 4 others"""
"b""I 'm Vida Fitness - ( Washington , DC )"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 31 others"""
b'Birthday Dinner ( w/ 5 others )'
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC ) w/ 5 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm El Centro D.F . ( Washington , DC ) w/ 2 others"""
"b""I 'm Lovely Nails ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 4 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm Washington Hospital Center ( Washington , DC ) w/ 2 others"""
"b""I 'm Posto ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 5 others"""
"b""I 'm ( Washington , DC ) w/ 5 others"""
"b""I 'm ( Washington , DC ) w/ 2 others"""
"b""I 'm ( Washington , DC ) w/ 4 others"""
"b""I 'm The Iowa ( Washington , DC )"""
"b""I 'm ( Washington , DC ) w/ 9 others"""
b'Medi & amp ; Pedi Time favorite nail salon . ( @ Lovely Nails )'
"b""I 'm ( Washington , DC )"""
"b""I 'm Florida Avenue Grill ( Washington , DC )"""
"b""I 'm Vida Fitness ( Washington , DC )"""
"b""I 'm Vida Fitness ( Washington , DC )"""
"b""I 'm Vida Fitness ( Washington , DC ) w/ 3 others"""
b'My Gucci needs new battery ( @ Han Time Engraving )'
"b""I 'm Vida Fitness ( Washington , DC )"""
"b""I 'm Vida Fitness ( Washington , DC )"""
"b""I 'm Whole Foods Market ( Washington , DC ) w/ 6 others"""
"b""I 'm Vida Fitness ( Washington , DC )"""
"b""I 'm Vida Fitness ( Washington , DC ) w/ 2 others"""
"b""I 'm The Iowa ( Washington , DC )"""
b'Time hear Eddie ( @ Cobalt w/ 13 others )'
b'Wee r'
b'Holy shit starting online business easier I thought : ) check I turned $ 10 $ 157 !'
b'Holy shit starting online business easier I thought : ) check I turned $ 10 $ 112 !'
b'Aaa'
b'The Lady I breakfast . ?'
b'A'
b'Top Jobs 2012 -'
"b""DC black women ( 25 ) worse people I 've come across . Rude Very disrespectful . Wow !"""
b'I workout look good'
b'Sitting tarmac San Diego Airport United . Just @ # % ! Lovely .'
b'Pool Time @ Washington Plaza All Summer . Life Is Good .'
b'Home within reach . Yeah !'
b'RT : Blue Line : Expect residual delays Franconia due earlier train malfunction Eastern Market .'
b'Metro hell . On shuttle bus West Falls Church get downtown .'
b'Suck victim . But happy alive .'
b'Here information cell phone stolen men .'
